title, category, address, phone, email, description
Begin Again Children’s Grief  Center, CHILDREN, 1500 S. Daytona Ave  Flagler Beach. FL 32136, 386-425-3100, , Free programs and counseling for  grieving children ages 4-18.     Halifax Health – Hospice
, CHILDREN, 1425 Rymfire Dr. Palm Coast. FL 32164, 386-206-4600, , Boys & Girls Club  Life enhancing programs and character  building experiences for 6 – 18 year old  boys & girls.   Rymfire Elementary School         x 5231
Camp Safe Haven, CHILDREN, , 386-206-9730, , Free day camp with therapeutic and  fun activities for children 6-12 who  have lost a loved one.           1-800-HOSPICE
Child Find Services  Help, CHILDREN, , 800-227-6036, , Identifying children at risk for  developing special or unique needs  who are underserved in public schools.   3481 Reid Street   Palatka. FL  32177  1-
Children’s Home Society, CHILDREN, 246 W. Voorhis Avenue   Deland. FL 32720, 386-304-7600, , Residential group homes & visitation  center services for abused children.          X 226
Children’s Medical, CHILDREN, , 386-238-4980, , Services  (CMS)  Family centered. managed system of  care for children w/special needs  (Volusia & Flagler Counties).    421 S. Keech St.  Daytona Beach. FL 321114   www.cms-kids.com      866-827-5197
Child Support Enforcement, CHILDREN, , , , Locates parents & assets; establishes  paternity. establishes & modifies  orders. monitors compliance.  Department of Revenue  1160 N. Williamson Blvd. #130.  Daytona Beach. FL  32114   850-488-KIDS (5437)
Early Learning Coalition of  Flagler and Volusia, CHILDREN, , 386-323-2400, , Child care provider listings. VPK. child  care assistance. and child development  and behavior concerns.   377 Palm Coast Pkwy SW. Ste. 1  Palm Coast. FL 32137   (West Point Plaza)   877-ELC-0065
, CHILDREN, 301 Justice Lane  Bunnell. FL 32110, 877-255-4568, , Easterseals - Early Steps  State Funded program to evaluate  children from birth to 3 yrs for  developmental delay. Providing  physical. occupational & speech  therapy.
, CHILDREN, , 386-255-4568, info@seals-vf.org, Easterseals Volusia/Flagler  School based therapy (OT/PT).    .
Florida Abuse Hotline, CHILDREN, , 800-962-2873, , Report suspected abuse or neglect of a  child.  www.flfamilies.com
Healthy, CHILDREN, , 386-323-0000, , Communities (Florida  Kid Care)  Affordable health insurance for eligible  children under 19 who don’t qualified  for Medicaid.   www.FloridaKidCare.org.
Healthy Start Coalition of, CHILDREN, , 386-252-5277, , Flagler & Volusia. Inc.  Free services for prenatal women.  infants. & women of child bearing age.
Loads of Smiles  Prescribed Pediatric Extended, CHILDREN, , 386-225-4866, , Care  (PPEC) center. daycare for medically  complex children birth-age 21.  5 Utility Dr. Palm Coast. FL 32137
, CHILDREN, , 386-437-8238, , RCMA (Head Start)  Free Head Start. VPK; childcare  105 E. Drain St. Bunnell. FL 32110
Rural Partnership for Healthy  Kids, CHILDREN, , 386-312-2218, , Free or low cost insurance for kids and  teens who meet eligibility.  3841 Reid St.  Palatka. FL 32177  Office:         Cell:  386-449-9587
Safe, CHILDREN, , 386-323-0000, , Kids Volusia/Flagler  (Healthy Communities)  Safety prevention education (water.  wheel. pedestrian. child passenger.  firearm. playground. home fall. and  disaster prep.    www.usa.safekids.org.
Sally’s Safe Haven Visitation  Center, CHILDREN, , 386-263-8771, , Supervised visits and monitored  exchange of children in cases involving  violence. sexual assault & stalking.   103 E. Moody Blvd. Bunnell. FL 32110
Emmanuel’s Closet, CLOTHING, , , emmanuelscloset@gmail.com, Clothing and other necessities for  people in Flagler County.   1000 Palm Coast Pkwy. SW. Ste. 107  Palm Coast. FL 32164  1st Saturday of the month:  Hearts for  Homeless. 2nd and 4th Saturday:   Public Shopping Day.   www.emmanuelsclosetpalmcoast.com
Precious, CLOTHING, , 877-731-2210, , Hearts Foundation:   Apparel for All   Apparel for ALL provides free clothing  and accessories for men. women. and  children in need.
, DENTAL, 250 State Road 207  St Augustine. FL 32084, 904-824-3322, , Azalea – St. Augustine Dental  Cleanings. fillings. simple extractions  and more. Income-based sliding scale  for qualified patients. Accepts  Medicaid and other plans.   Open: Mon – Thurs. 8:00 am – 7:00 pm  www.azahealth.org      Call for Appointment:
Daytona State College  Dental Hygiene Program, DENTAL, , , , Services  Cleanings. x-rays. and sealants  (children) at very discounted prices.  DSC Deland Campus. Bldg 6A. Rm 100  1155 CR 4139. Deland. FL  32724   DL:  (386) 785-2060  DB:  (386) 506-3000 X2060
Flagler County Free, DENTAL, 700 E. Moody Blvd.   Bunnell. FL 32110, 386-437-3091, , Clinic  **The dental portion only of the clinic  is currently closed due to renovations –   hope to re-open in 2019.**  Free limited dental care to uninsured  low income people.
Flagler County Health  Department  Dental for, DENTAL, , 386-437-7350, , Medicaid clients.    301 Dr. Carter Blvd. Bunnell. FL 32110
Flagler Dentures, DENTAL, , 386-586-3677, , Full dental services; accepts Medicaid.   1316 S. State St. Bunnell. FL 32110
Flagler County Human Services, DENTAL, 1000 Belle Terre Boulevard  Palm Coast. FL 32164, 386-586-2324, , Emergency dental assistance for  eligible Flagler County residents.          X 3622
Aging and Disability Resource  Center Hotline, DISABILITY RESOURCES, , 904-391-6699, , Helpline for seniors. caregivers and  adults with disabilities to find available  resources. agencies and programs.         888-242-4464   (Call Florida Relay 7-1-1 for hearing  and visual accommodations).
Bureau of Braille and Talking  Books Library, DISABILITY RESOURCES, 421 Platt St. Daytona Beach. FL 32114, 386-239-6000, , Services   (National Library Service for the Blind and  Physically Handicapped)  Free audio or braille books &  magazines for anyone unable to read  normal print due to physical disability.  vision loss. or certifiable learning  disability. sent by mail or downloaded.  Player provided; special headphones  for hearing loss. Available to  individuals and institutions.          800-226-6075
Community Care for Disabled, DISABILITY RESOURCES, , 386-313-7036, , Adults (CCDA)  Provides links and assistance with  adult day care. case management.  chore services & personal care for  people 18-59 with permanent physical  or mental disabilities.
, DISABILITY RESOURCES, , 386-255-1812, info@dsil.org, disAbility Solutions  Programs that promote independence  of people with disabilities through  empowerment and independent living  services.   119 S. Palmetto Avenue. Ste. 180  Daytona Beach. FL 32114  www.dsil.org           TTY:  386-252-6222
Division of Blind Services, DISABILITY RESOURCES, , 386-254-3800, , Variety of support to Floridians whose  visual impairments significantly affect  ability to participate in daily activities.   1185 Dunn Ave.  Daytona Beach. FL 32114  www.dbs.fldoe.org          800-329-3801
Loads of Smiles  Prescribed Pediatric Extended, DISABILITY RESOURCES, , 386-225-4866, , Care  (PPEC) center. daycare for medically  complex children birth-age 21.  5 Utility Dr. Palm Coast. FL 32137
, DISABILITY RESOURCES, , 904-391-6699, , SHINE (Serving Health Insurance  Needs of Elders)  Free unbiased health insurance  counseling for seniors and people with  disabilities.       888-242-4464
Social Security Disability, DISABILITY RESOURCES, , 800-772-1213, , Apply for disability.
Special Olympics Florida Inc.  Year-round, DISABILITY RESOURCES, , , , Olympic-type sports  training and competition for DS. ID.  DD. & ASD individuals to develop  physical fitness and provide  opportunities to share with the  community their skills. talents & gifts.   Denise Breneman  (386) 314-1735
